councillor_id,display_name,role,ward_number,ward_name,term_start,term_end,current_member,source_url
jeff-leal,Jeff Leal,Mayor,,,,,true,https://www.peterborough.ca/council-city-hall/mayor-and-council/
kevin-duguay,Kevin Duguay,Councillor,1,Otonabee,,,true,https://www.peterborough.ca/council-city-hall/mayor-and-council/
lesley-parnell,Lesley Parnell,Councillor,1,Otonabee,,,true,https://www.peterborough.ca/council-city-hall/mayor-and-council/
matt-crowley,Matt Crowley,Councillor,2,Monaghan,,,true,https://www.peterborough.ca/council-city-hall/mayor-and-council/
don-vassiliadis,Don Vassiliadis,Councillor,2,Monaghan,,,true,https://www.peterborough.ca/council-city-hall/mayor-and-council/
alex-bierk,Alex Bierk,Councillor,3,Town,,,true,https://www.peterborough.ca/council-city-hall/mayor-and-council/
joy-lachica,Joy Lachica,Councillor,3,Town,,,true,https://www.peterborough.ca/council-city-hall/mayor-and-council/
gary-baldwin,Gary Baldwin,Councillor,4,Ashburnham,,,true,https://www.peterborough.ca/council-city-hall/mayor-and-council/
keith-riel,Keith Riel,Councillor,4,Ashburnham,,,true,https://www.peterborough.ca/council-city-hall/mayor-and-council/
andrew-beamer,Andrew Beamer,Councillor,5,Northcrest,,,true,https://www.peterborough.ca/council-city-hall/mayor-and-council/
dave-haacke,Dave Haacke,Councillor,5,Northcrest,,,true,https://www.peterborough.ca/council-city-hall/mayor-and-council/
