fiscal_year,version_label,source_org_label,amount_cad,source_id,review_status
2022,2022 Approved,City Council,708124,budget-2023-operating,machine_checked
2022,2022 Approved,Chief Administrative Officer,20913393,budget-2023-operating,machine_checked
2022,2022 Approved,Corporate and Legislative Services,13700801,budget-2023-operating,machine_checked
2022,2022 Approved,Infrastructure and Planning Services,82989954,budget-2023-operating,machine_checked
2022,2022 Approved,Community Services,102513776,budget-2023-operating,machine_checked
2022,2022 Approved,Financial Services - Other Financial,37939324,budget-2023-operating,machine_checked
2022,2022 Approved,Transfers to Organizations For Provision of Services,39181424,budget-2023-operating,machine_checked
2023,2023 Approved,Council,805206,budget-2024,machine_checked
2023,2023 Approved,Chief Administrative Officer,1694471,budget-2024,machine_checked
2023,2023 Approved,Finance and Corporate Support Services,10801647,budget-2024,machine_checked
2023,2023 Approved,Legislative Services,4816901,budget-2024,machine_checked
2023,2023 Approved,"Infrastructure, Planning and Growth Management",18532733,budget-2024,machine_checked
2023,2023 Approved,Municipal Operations,67257588,budget-2024,machine_checked
2023,2023 Approved,Community Services,141421515,budget-2024,machine_checked
2023,2023 Approved,Financial Services Other,38916052,budget-2024,machine_checked
2023,2023 Approved,Outside Organizations,42566027,budget-2024,machine_checked
2024,2024 Approved,Council,873754,budget-2025,machine_checked
2024,2024 Approved,Chief Administrative Officer,3131727,budget-2025,machine_checked
2024,2024 Approved,Finance and Corporate Support Services,14133045,budget-2025,machine_checked
2024,2024 Approved,Legislative Services,6285254,budget-2025,machine_checked
2024,2024 Approved,"Infrastructure, Planning and Growth Management",21446271,budget-2025,machine_checked
2024,2024 Approved,Municipal Operations,72072240,budget-2025,machine_checked
2024,2024 Approved,Community Services,154765079,budget-2025,machine_checked
2024,2024 Approved,Financial Services Other,42328858,budget-2025,machine_checked
2024,2024 Approved,Outside Organizations,48072352,budget-2025,machine_checked
2025,2025 Approved,Council,919297,budget-2026,machine_checked
2025,2025 Approved,Chief Administrative Officer,3143926,budget-2026,machine_checked
2025,2025 Approved,Finance and Corporate Support Services,17485663,budget-2026,machine_checked
2025,2025 Approved,Legislative Services,7948189,budget-2026,machine_checked
2025,2025 Approved,"Infrastructure, Planning and Growth Management",23075855,budget-2026,machine_checked
2025,2025 Approved,Municipal Operations,114994767,budget-2026,machine_checked
2025,2025 Approved,Community Services,170338499,budget-2026,machine_checked
2025,2025 Approved,Financial Services Other,44416111,budget-2026,machine_checked
2025,2025 Approved,Outside Organizations,50407748,budget-2026,machine_checked
2026,2026 Final Budget Book,Council,934784,budget-2026,machine_checked
2026,2026 Final Budget Book,Chief Administrative Officer,3117765,budget-2026,machine_checked
2026,2026 Final Budget Book,Finance and Corporate Support Services,18525480,budget-2026,machine_checked
2026,2026 Final Budget Book,Legislative Services,8433989,budget-2026,machine_checked
2026,2026 Final Budget Book,"Infrastructure, Planning and Growth Management",24466131,budget-2026,machine_checked
2026,2026 Final Budget Book,Municipal Operations,114781904,budget-2026,machine_checked
2026,2026 Final Budget Book,Community Services,178647088,budget-2026,machine_checked
2026,2026 Final Budget Book,Financial Services Other,50613627,budget-2026,machine_checked
2026,2026 Final Budget Book,Outside Organizations,54642258,budget-2026,machine_checked
