source_id,fiscal_year,source_version_label,source_org_label,measure_type,amount_cad,source_page,source_table,review_status
budget-2023-operating,2022,2022 Approved,City Council,gross_expenditure,708124,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2022,2022 Approved,Chief Administrative Officer,gross_expenditure,20913393,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2022,2022 Approved,Corporate and Legislative Services,gross_expenditure,13700801,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2022,2022 Approved,Infrastructure and Planning Services,gross_expenditure,82989954,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2022,2022 Approved,Community Services,gross_expenditure,102513776,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2022,2022 Approved,Financial Services - Other Financial,gross_expenditure,37939324,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2022,2022 Approved,Transfers to Organizations For Provision of Services,gross_expenditure,39181424,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2022,2022 Approved,TOTAL,gross_expenditure,297946795,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2022,2022 Approved,Tax Levy and Other Revenue,gross_revenue,164840920,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2023,2023 Recommended,City Council,gross_expenditure,814981,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2023,2023 Recommended,Chief Administrative Officer,gross_expenditure,21821740,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2023,2023 Recommended,Corporate and Legislative Services,gross_expenditure,13796621,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2023,2023 Recommended,Infrastructure and Planning Services,gross_expenditure,88492808,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2023,2023 Recommended,Community Services,gross_expenditure,119933669,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2023,2023 Recommended,Financial Services - Other Financial,gross_expenditure,40880304,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2023,2023 Recommended,Transfers to Organizations For Provision of Services,gross_expenditure,40893541,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2023,2023 Recommended,TOTAL,gross_expenditure,326633664,4,Summary of Gross Revenue & Expenditures,machine_checked
budget-2023-operating,2023,2023 Recommended,Tax Levy and Other Revenue,gross_revenue,174469202,4,Summary of Gross Revenue & Expenditures,machine_checked
